address,incoming_count,outgoing_count,incoming_amount_by_asset,outgoing_amount_by_asset,first_seen,last_seen,interaction_count,direction
TJMUadmxstaJsnsK6my4vEDGCDiXMh3eWd,0,269,{},"{""TRX"": ""1136""}",2026-01-06T12:02:00+00:00,2026-08-03T08:08:15+00:00,269,outgoing
TPhzQpoexvACBcyEMNGvZy1QRXvLYsfNMJ,0,40,{},"{""USDT"": ""200500""}",2026-01-10T10:51:03+00:00,2026-08-02T09:53:48+00:00,40,outgoing
TXoir9Np6F2m8F3WdU8H6uZ2amEoVZWoV8,0,30,{},"{""USDT"": ""147000""}",2026-01-22T14:05:03+00:00,2026-06-13T14:39:51+00:00,30,outgoing
TFaT6LYQzHQiN1jAXAgdwpZw7noX3xBmpA,0,29,{},"{""USDT"": ""134993""}",2026-01-06T12:09:12+00:00,2026-07-16T10:28:15+00:00,29,outgoing
TXXEhRWKthjhVq4DUchpkKV5WJuwyrPZ1R,22,6,"{""USDT"": ""227062""}","{""USDT"": ""43500""}",2026-01-08T10:43:33+00:00,2026-05-16T12:24:57+00:00,28,unknown
TQeV4kBaMYzLYtpG9ujUtPz6tWdyXVm4FV,19,0,"{""USDT"": ""393362""}",{},2026-01-02T13:01:42+00:00,2026-07-29T08:04:18+00:00,19,incoming
TBdrxaXKRoANUfU71vm1iSL8gfjq6RXspQ,17,0,"{""USDT"": ""20360.051005""}",{},2026-03-06T14:59:33+00:00,2026-07-24T14:41:48+00:00,17,incoming
THCKaxcQ8dFV4soZkeiQdwuvkT4sQHUbRz,0,15,{},"{""USDT"": ""68400""}",2026-05-12T10:54:21+00:00,2026-08-02T09:54:30+00:00,15,outgoing
TRdgFkKYNQzd9NZore5kqoZBrB8ueJ6VnA,0,14,{},"{""USDT"": ""46028""}",2026-01-07T09:41:51+00:00,2026-03-27T12:29:21+00:00,14,outgoing
TCPEk4qeGVbn8b5U81DDd2uxipuyny6s4r,13,0,"{""USDT"": ""3421""}",{},2026-06-05T11:02:45+00:00,2026-08-03T10:33:51+00:00,13,incoming
TDsvtW6HTE7Y12huJHogJKVBk9oQv4VZzv,13,0,"{""USDT"": ""150300""}",{},2026-03-06T15:05:03+00:00,2026-07-31T15:10:51+00:00,13,incoming
TF9GXeiYpofE9BzF9qA9bVxQvD1gMh3eWd,13,0,"{""TRX"": ""0.64""}",{},2026-05-01T22:18:09+00:00,2026-08-04T00:29:54+00:00,13,incoming
TGxVDjGujrUXQGZtWgNcdeawkPYeoE4Frv,0,13,{},"{""USDT"": ""77500""}",2026-01-13T13:51:51+00:00,2026-04-08T15:30:33+00:00,13,outgoing
TNJg619GpW92Ff7xBmqc49HYUwU4bUpYsR,13,0,"{""USDT"": ""98537.5""}",{},2026-02-06T08:27:54+00:00,2026-07-25T19:49:27+00:00,13,incoming
TShK1BGMzWTnRhXitoy2gU5AshNEvwkYaZ,0,13,{},"{""USDT"": ""49600""}",2026-01-06T12:06:51+00:00,2026-04-16T13:43:21+00:00,13,outgoing
TP9EK9XGVWXtkirMsqNwCUaYF1EkvHa3Ka,0,12,{},"{""USDT"": ""32500""}",2026-01-16T09:21:48+00:00,2026-03-06T15:23:39+00:00,12,outgoing
TGEB6Cj1TRpowtsW6aoU1Wz9mreAqGojNP,11,0,"{""USDT"": ""146500""}",{},2026-03-11T14:03:09+00:00,2026-06-13T13:03:18+00:00,11,incoming
TRexcxMkfc4XNAE89kNB5bbTic4Ni2QnCn,0,11,{},"{""USDT"": ""20650""}",2026-04-07T08:07:57+00:00,2026-08-03T04:03:24+00:00,11,outgoing
TMWFgxBDvCChpGJK11Zzx3pG9yoAsz5NMJ,10,0,"{""TRX"": ""0.000060""}",{},2026-03-09T04:05:54+00:00,2026-07-03T05:16:57+00:00,10,incoming
TNXGgVaQKwvABKYMuACAJDyTPkDbgEPoV8,10,0,"{""TRX"": ""0.000043""}",{},2026-01-22T14:15:00+00:00,2026-05-30T13:23:42+00:00,10,incoming
TVwi2hVANZ2WiGJpNQXgEe1isAGRDvPNMJ,10,0,"{""TRX"": ""0.000041""}",{},2026-04-01T08:38:33+00:00,2026-08-02T09:56:00+00:00,10,incoming
TWp5VTSQZRf3X82faiXvSoD9Pbkipf61Zt,8,2,"{""USDT"": ""60342.5""}","{""USDT"": ""15500""}",2026-05-31T13:31:42+00:00,2026-06-22T06:39:15+00:00,10,unknown
TE3gBwfk3giTbfWBkK1xyX6DSxVfMQQLAS,0,9,{},"{""USDT"": ""19500""}",2026-01-05T03:31:27+00:00,2026-01-18T10:45:36+00:00,9,outgoing
THAJzGP9Q1wDfNgWCjteDS2Bx8DRaF1oV8,9,0,"{""TRX"": ""0.000041""}",{},2026-01-24T03:19:27+00:00,2026-05-31T14:08:39+00:00,9,incoming
TNamowr9bKwq4BSJhNuzgydbDNNpoPr4FV,9,0,"{""TRX"": ""0.000020""}",{},2026-01-20T13:02:51+00:00,2026-07-11T06:54:51+00:00,9,incoming
TRKydUsVQfpiRG6QcuSxGY2dcCS6RUVLah,0,9,{},"{""USDT"": ""14253""}",2026-02-18T06:22:00+00:00,2026-05-01T10:16:27+00:00,9,outgoing
TAh8GF9vsuKk1r2VsTeuzLy5bBtjwSYYaZ,8,0,"{""TRX"": ""0.000040""}",{},2026-01-20T13:42:39+00:00,2026-04-16T13:45:36+00:00,8,incoming
TEc4s8P17nq5y39RES1yVGNQrTcH6HwZ1R,8,0,"{""TRX"": ""0.000038""}",{},2026-01-10T10:54:33+00:00,2026-05-14T08:03:57+00:00,8,incoming
TJZC1Pp18bGFZEqAA1PodP97hHUnNDKkms,0,8,{},"{""USDT"": ""10700""}",2026-05-11T08:43:48+00:00,2026-06-25T04:34:00+00:00,8,outgoing
TLqk16SN2ARUyixh64yxb9FzAwdT5FGQxr,0,8,{},"{""USDT"": ""700""}",2026-01-18T03:28:42+00:00,2026-07-04T07:46:57+00:00,8,outgoing
TVTPiohxe8TnQeQ5rZ9fmSxzcrBdFCVe5n,0,8,{},"{""USDT"": ""38500""}",2026-03-02T17:03:09+00:00,2026-07-31T11:53:00+00:00,8,outgoing
TL8VpKeT5cXmRAWrK8C6XUH7dUJVHNn8CA,0,7,{},"{""USDT"": ""17900""}",2026-02-06T14:45:42+00:00,2026-06-13T14:43:48+00:00,7,outgoing
TMRKUZ5dp8vTzTsLvca7rnphicnSUWpJHQ,0,7,{},"{""USDT"": ""15650""}",2026-05-27T13:55:48+00:00,2026-07-31T09:47:24+00:00,7,outgoing
TVvuJT9zPwFMYgD7CRcWUYFgYDeGLXec2c,0,7,{},"{""USDT"": ""42700""}",2026-01-06T12:03:15+00:00,2026-03-20T08:17:00+00:00,7,outgoing
TWxTTdemwi2HkuE7dGECBvGNdKoRTNqoV8,7,0,"{""TRX"": ""0.000040""}",{},2026-02-02T13:10:18+00:00,2026-05-30T13:23:33+00:00,7,incoming
TWznujqD7Wv6FCkFt3iSC1RUrNeymG1spQ,7,0,"{""TRX"": ""0.000029""}",{},2026-03-06T15:00:51+00:00,2026-07-18T07:38:39+00:00,7,incoming
TDK4wiBbz1UFwQefUCBE2vFUcV6sZJXoV8,6,0,"{""TRX"": ""0.000039""}",{},2026-01-24T03:21:06+00:00,2026-06-13T14:42:06+00:00,6,incoming
TJ1XcbcyMWN8frhNoHQMdzQN1UhbakHxh4,0,6,{},"{""USDT"": ""6300""}",2026-05-16T09:11:00+00:00,2026-08-03T08:10:15+00:00,6,outgoing
TKvmRiZwRvtMftMH8Et232rbFNQLBMR3Ka,6,0,"{""TRX"": ""0.000034""}",{},2026-01-16T09:24:15+00:00,2026-02-27T06:45:30+00:00,6,incoming
TLaGjwhvA8XQYSxFAcAXy7Dvuue9eGYitv,6,0,"{""USDT"": ""55090""}",{},2026-01-15T13:36:18+00:00,2026-07-31T10:52:18+00:00,6,incoming
TMSFq7YAiVsiUHRCzH6YfuAoCeAfWKwbWZ,0,6,{},"{""USDT"": ""25200""}",2026-04-22T06:03:24+00:00,2026-07-19T10:01:24+00:00,6,outgoing
TNCukLcSmeQJgKrqAkRadSnDtS2qcjkYsR,6,0,"{""TRX"": ""0.000028""}",{},2026-02-06T08:28:36+00:00,2026-07-23T12:20:21+00:00,6,incoming
TQiYZwYPGBf1k1gTaeU4BHgL1EjmVWEmpA,6,0,"{""TRX"": ""0.000024""}",{},2026-01-16T09:17:36+00:00,2026-05-22T14:06:51+00:00,6,incoming
TWsioUchZMZAn1trbZV6BUkzcme1pdp4FV,6,0,"{""TRX"": ""0.000046""}",{},2026-01-30T09:31:27+00:00,2026-07-29T08:06:30+00:00,6,incoming
TAwhKSjUtqCfMDXB1S6PSw9AcFwifDFLAS,5,0,"{""TRX"": ""0.000027""}",{},2026-01-08T15:11:03+00:00,2026-01-16T10:54:09+00:00,5,incoming
TB5sjY3b6q7MyoTdBJSZnBKo75PMPCaJcR,0,5,{},"{""USDT"": ""12000""}",2026-06-29T09:38:00+00:00,2026-08-03T08:10:54+00:00,5,outgoing
TD7LcvyLutKZmezdCwvUHavhhezAJHAZ1R,5,0,"{""TRX"": ""0.000024""}",{},2026-01-08T10:44:12+00:00,2026-05-06T15:25:06+00:00,5,incoming
TFGjudfZa8UNHfGyTAntmgPutLkEn1qhDX,5,0,"{""USDT"": ""7593""}",{},2026-03-02T13:53:18+00:00,2026-03-05T15:55:12+00:00,5,incoming
