granularity,period,transaction_count,amounts_by_asset
daily,2026-01-01,1,"{""USDT"": ""45""}"
daily,2026-01-02,1,"{""USDT"": ""30000""}"
daily,2026-01-04,1,"{""USDT"": ""464""}"
daily,2026-01-05,4,"{""USDT"": ""3452""}"
daily,2026-01-06,34,"{""TRX"": ""16.100044"", ""USDT"": ""16870""}"
daily,2026-01-07,5,"{""TRX"": ""4"", ""USDT"": ""4000""}"
daily,2026-01-08,14,"{""TRX"": ""8.000015"", ""USDT"": ""9500""}"
daily,2026-01-09,3,"{""0597 COM"": ""0.000097"", ""TRX"": ""0.000002"", ""USDT"": ""20000""}"
daily,2026-01-10,40,"{""TRX"": ""31.110035"", ""USDT"": ""42000""}"
daily,2026-01-12,5,"{""TRX"": ""4"", ""USDT"": ""50""}"
daily,2026-01-13,22,"{""TRX"": ""12.011028"", ""USDT"": ""9500""}"
daily,2026-01-14,7,"{""TRX"": ""4.000003"", ""USDT"": ""7500""}"
daily,2026-01-15,11,"{""TRX"": ""92.888902"", ""USDT"": ""31000""}"
daily,2026-01-16,45,"{""TRX"": ""32.000033"", ""USDT"": ""35000""}"
daily,2026-01-18,16,"{""TRX"": ""8.000018"", ""USDT"": ""2100""}"
daily,2026-01-20,18,"{""TRX"": ""12.000044"", ""USDT"": ""53500""}"
daily,2026-01-21,4,"{""TRX"": ""0.000006""}"
daily,2026-01-22,6,"{""TRX"": ""4.000002"", ""USDT"": ""4000""}"
daily,2026-01-23,2,"{""TRX"": ""0.000003"", ""USDT"": ""30000""}"
daily,2026-01-24,33,"{""TRX"": ""28.000044"", ""USDT"": ""15000""}"
daily,2026-01-25,8,"{""TRX"": ""4.000005"", ""USDT"": ""7000""}"
daily,2026-01-26,7,"{""TRX"": ""4.000009"", ""USDT"": ""6000""}"
daily,2026-01-27,9,"{""TRX"": ""0.000009""}"
daily,2026-01-28,7,"{""TRX"": ""4.000009"", ""USDT"": ""2000""}"
daily,2026-01-29,2,"{""TRX"": ""0.000002""}"
daily,2026-01-30,8,"{""TRX"": ""4.000010"", ""USDT"": ""20100""}"
daily,2026-01-31,26,"{""TRX"": ""20.000024"", ""USDT"": ""15780""}"
